,Name,Verb,Verb_Counts,Verb_Counts_Percentaje,Noun,Noun_Counts,Noun_Counts_Percentaje,Pron,Pron_Counts,Pron_Counts_Percentaje
31,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,look,119,1.1155901378081936,hell,163,0.6529925486739845,your,241.0,2.204537138675448
32,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,’,103,0.9655948251617137,moment,131,0.5247976924925888,him,210.0,1.920965971459934
33,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,make,98,0.9187212899596887,face,131,0.5247976924925888,them,187.0,1.7105744603000366
34,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,need,89,0.8343489265960439,room,128,0.5127794247255829,who,127.0,1.1617270398829125
35,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,pull,88,0.8249742195556389,head,125,0.500761156958577,their,112.0,1.0245151847786316
36,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,s,87,0.8155995125152339,way,118,0.4727185321688967,our,101.0,0.9238931577021589
37,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,come,83,0.7781006843536139,something,115,0.4607002644018909,myself,89.0,0.814123673618734
38,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,think,78,0.731227149151589,shit,109,0.4366637288678792,us,64.0,0.5854372484449323
39,/Users/Feliche/Documents/AmazonBestSellers/Tiffany Jenkins - High Achiever_ The Incredible True Story of One Addict’s Double Life-Harmony (2019).epub,realize,71,0.6656041998687541,cell,108,0.43265763961221054,s,25.0,0.2286864251738017
40,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",be,98,14.141414141414142,t,192,3.37909186906019,you,963.0,26.28992628992629
41,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",make,20,2.886002886002886,dream,132,2.3231256599788805,we,649.0,17.71771771771772
42,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",have,18,2.5974025974025974,mind,111,1.9535374868004225,your,359.0,9.8007098007098
43,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",become,18,2.5974025974025974,word,110,1.9359380499824006,it,302.0,8.244608244608244
44,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",say,17,2.4531024531024532,life,107,1.8831397395283351,what,193.0,5.268905268905269
45,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",call,17,2.4531024531024532,i,107,1.8831397395283351,our,185.0,5.05050505050505
46,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",learn,16,2.3088023088023086,way,102,1.7951425554382259,they,180.0,4.914004914004914
47,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",love,15,2.1645021645021645,agreements,98,1.7247448081661387,he,123.0,3.357903357903358
48,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",do,14,2.0202020202020203,love,79,1.390355508623724,us,113.0,3.0849030849030847
49,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",use,11,1.5873015873015872,agreement,71,1.2495600140795495,yourself,78.0,2.1294021294021293
50,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",put,11,1.5873015873015872,everything,69,1.2143611404435057,my,73.0,1.9929019929019929
51,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",grow,10,1.443001443001443,”,59,1.0383667722632877,who,64.0,1.7472017472017471
52,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",s,9,1.2987012987012987,people,59,1.0383667722632877,me,61.0,1.6653016653016652
53,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",go,8,1.1544011544011543,others,53,0.9327701513551566,she,48.0,1.3104013104013104
54,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",give,8,1.1544011544011543,’,51,0.8975712777191129,their,46.0,1.255801255801256
55,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",bear,8,1.1544011544011543,time,50,0.8799718409010912,ourselves,43.0,1.173901173901174
56,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",base,8,1.1544011544011543,fear,44,0.7743752199929602,them,42.0,1.1466011466011465
57,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",accept,8,1.1544011544011543,assumptions,43,0.7567757831749384,her,35.0,0.9555009555009555
58,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",come,7,1.0101010101010102,day,43,0.7567757831749384,his,32.0,0.8736008736008736
59,"/Users/Feliche/Documents/AmazonBestSellers/(1) Don Miguel Ruiz - The Four Agreements-Amber-Allen Publishing, Incorporated (2018).epub",saw,7,1.0101010101010102,power,40,0.703977472720873,him,16.0,0.4368004368004368
60,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,be,460,14.687100893997446,’,570,2.1975479990747164,you,1020.0,19.387949059114238
61,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,s,134,4.278416347381865,”,363,1.3994910941475827,it,773.0,14.693024139897357
62,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,have,103,3.288633461047254,flow,298,1.1488935153057291,we,663.0,12.602166888424254
63,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,’,97,3.0970625798212006,“,281,1.0833526100701674,your,484.0,9.199771906481658
64,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,do,93,2.9693486590038316,brain,281,1.0833526100701674,our,398.0,7.565101691693594
65,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,get,45,1.4367816091954022,i,277,1.0679312206029763,what,368.0,6.994867895837293
66,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,require,42,1.3409961685823755,s,272,1.0486544837689875,they,234.0,4.447823607679148
67,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,learn,41,1.3090676883780332,t,246,0.9484154522322461,my,222.0,4.219730089336628
68,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,say,34,1.0855683269476373,time,244,0.9407047574986507,us,182.0,3.459418361528227
69,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,discover,34,1.0855683269476373,creativity,205,0.7903462101935385,he,154.0,2.9272001520623454
70,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,give,32,1.0217113665389528,way,173,0.6669750944560104,their,141.0,2.680098840524615
71,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,find,29,0.9259259259259259,attention,153,0.5898681471200555,me,94.0,1.7867325603497435
72,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,use,28,0.8939974457215837,goals,134,0.5166165471508983,them,93.0,1.7677247671545333
73,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,come,28,0.8939974457215837,work,126,0.4857737682165163,his,88.0,1.672685801178483
74,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,go,28,0.8939974457215837,people,124,0.4780630734829208,who,79.0,1.5016156624215928
75,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,start,27,0.8620689655172413,performance,123,0.47420772611612305,yourself,58.0,1.102452005322182
76,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,take,26,0.8301404853128991,york,118,0.4549309892821343,its,44.0,0.8363429005892415
77,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,become,25,0.7982120051085568,passion,117,0.45107564191533656,s,42.0,0.7983273141988215
78,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,write,24,0.7662835249042146,information,112,0.43179890508134783,itself,24.0,0.45618703668504085
79,/Users/Feliche/Documents/AmazonBestSellers/Steven Kotler - The Art of Impossible-Harper Wave (2020).epub,produce,24,0.7662835249042146,dopamine,110,0.42408821034775235,ourselves,16.0,0.3041246911233606
80,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",be,1624,24.034334763948497,’,769,3.272061952174283,he,958.0,14.855016281594045
81,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",have,491,7.2665384046174335,”,547,2.3274614926389243,it,806.0,12.498061714994574
82,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",say,247,3.655468403137487,“,418,1.7785720364224322,you,635.0,9.846487827570165
83,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",do,154,2.279117951753737,i,387,1.6466683686494767,they,578.0,8.962629865095364
84,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",go,124,1.8351339351783336,t,344,1.4637052165773126,his,489.0,7.582570941231198
85,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",get,111,1.6427408613289922,s,309,1.3147817207046208,we,391.0,6.062955496976276
86,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",s,110,1.627941394109812,people,218,0.9275806314356225,what,330.0,5.117072414327803
87,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",come,104,1.5391445907947314,school,182,0.7744021785379968,their,329.0,5.101566134284385
88,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",make,80,1.1839573775344088,time,134,0.5701642413411625,she,310.0,4.806946813459451
89,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",take,67,0.9915643036850673,children,130,0.5531444132414263,who,248.0,3.845557450767561
90,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",know,63,0.9323664348083469,way,123,0.523359714066888,them,217.0,3.3648627694216158
91,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",call,63,0.9323664348083469,students,114,0.4850651008424815,her,210.0,3.2563188091176927
92,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",’,62,0.9175669675891668,years,112,0.4765551867926134,him,171.0,2.651573887424407
93,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",give,50,0.7399733609590055,class,104,0.442515530593141,my,170.0,2.636067607380989
94,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",want,50,0.7399733609590055,world,85,0.3616713471193941,me,121.0,1.8762598852535277
95,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",turn,45,0.6659760248631049,walker,83,0.353161433069526,your,116.0,1.7987284850364398
96,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",begin,44,0.6511765576439248,things,75,0.3191217768700536,us,76.0,1.1784772832997363
97,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",tell,44,0.6511765576439248,city,73,0.3106118628201855,our,76.0,1.1784772832997363
98,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",start,44,0.6511765576439248,law,73,0.3106118628201855,its,50.0,0.7753140021708792
99,"/Users/Feliche/Documents/AmazonBestSellers/Malcolm Gladwell - David and Goliath_ Underdogs, Misfits, and the Art of Battling Giants-Little, Brown and Company (2013).epub",think,43,0.6363770904247447,man,72,0.3063569057952515,himself,43.0,0.6667700418669561
100,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,be,2948,23.72826786864134,’,1181,3.1835458392861957,he,1642.0,16.484288726031522
101,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,have,1166,9.385061171925306,”,785,2.1160740760708414,she,1355.0,13.603051902419436
102,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,say,394,3.171281390856407,s,631,1.700946168153759,her,1308.0,13.13121172573035
103,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,seem,226,1.8190598840952994,“,527,1.4206000485214438,his,1037.0,10.41060134524646
104,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,do,220,1.7707662588538313,mimi,451,1.215731730328598,it,851.0,8.543318943881136
105,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,come,184,1.4810045074050224,family,432,1.1645146507803865,they,659.0,6.615801626342737
106,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,make,153,1.2314874436574372,donald,406,1.0944281208723077,their,493.0,4.949302278887662
107,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,get,152,1.2234385061171926,schizophrenia,377,1.0162546836671429,him,484.0,4.85894990462805
108,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,take,150,1.2073406310367032,t,364,0.9812114187131035,who,368.0,3.6944081919485994
109,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,know,145,1.1670959433354797,time,329,0.8868641669137666,what,364.0,3.6542515811665495
110,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,go,128,1.03026400515132,don,270,0.7278216567377416,them,302.0,3.031824114044775
111,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,’,123,0.9900193174500966,jim,250,0.6739089414238348,you,289.0,2.901315129003112
112,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,want,116,0.9336767546683837,years,247,0.6658220341267488,my,134.0,1.3452464611986747
113,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,s,114,0.9175788795878944,way,245,0.6604307625953582,we,100.0,1.0039152695512499
114,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,think,109,0.8773341918866709,peter,245,0.6604307625953582,me,99.0,0.9938761168557374
115,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,become,107,0.8612363168061816,mother,241,0.6496482195325768,himself,65.0,0.6525449252083124
116,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,find,106,0.8531873792659369,home,214,0.5768660538588026,its,60.0,0.6023491617307499
117,/Users/Feliche/Documents/AmazonBestSellers/Robert Kolker - Hidden Valley Road_ Inside the Mind of an American Family-Knopf Doubleday Publishing Group (2020).epub,start,106,0.8531873792659369,i,214,0.5768660538588026,your,58.0,0.582270856339725
